id,name
1,Acura
2,Aston Martin
3,Audi
4,Bentley
5,BMW
6,Buick
7,Cadillac
8,Chevrolet
9,Chrysler
10,Citron
11,Daewoo
12,Dodge
13,Eagle
14,Ferrari
15,Ford
16,Geo
17,GMC
18,Honda
19,Hummer
20,Hyundai
21,Infiniti
22,Isuzu
23,Jaguar
24,Jeep
25,Kia
26,Lamborghini
27,Land Rover
28,Lexus
29,Lincoln
30,Lotus
31,Maserati
32,Maybach
33,Mazda
34,Mercedes-Benz
35,Mercury
36,MG
37,MINI
38,Mitsubishi
39,Nissan
40,Oldsmobile
41,Plymouth
42,Pontiac
43,Porsche
44,Ram
45,Rolls-Royce
46,Saab
47,Saturn
48,Scion
49,Smart
50,Subaru
51,Suzuki
52,Toyota
53,Volkswagen
54,Volvo
