id,name,car_maker_id
1,1500,8
2,1500,17
3,1500 Club Coupe,17
4,200SX,39
5,2500,17
6,2500,8
7,2500,44
8,3 Series,5
9,3000GT,38
10,300E,34
11,300SL,34
12,300ZX,39
13,323,33
14,325,5
15,3500,17
16,3500 Club Coupe,17
17,370Z,39
18,4000s Quattro,3
19,4Runner,52
20,5 Series,5
21,5000S,3
22,500SL,34
23,525,5
24,57,32
25,6 Series,5
26,600,5
27,6000,42
28,612 Scaglietti,14
29,626,33
30,645,5
31,7 Series,5
32,760,5
33,8 Series,5
34,88,40
35,9-3,46
36,900,46
37,9000,46
38,911,43
39,928,43
40,929,33
41,944,43
42,960,54
43,98,40
44,A3,3
45,A4,3
46,A6,3
47,A8,3
48,Acadia,17
49,Accent,20
50,Acclaim,41
51,Accord,18
52,Accord Crosstour,18
53,Achieva,40
54,Aerostar,15
55,Alero,40
56,Altima,39
57,Armada,39
58,Ascender,22
59,Astro,8
60,Aurora,40
61,Avalanche 2500,8
62,Avalon,52
63,Avenger,12
64,Aviator,29
65,Axiom,22
66,Azera,20
67,Aztek,42
68,Azure,4
69,B-Series,33
70,B-Series Plus,33
71,B2000,33
72,B2600,33
73,Blazer,8
74,Bonneville,42
75,Boxster,43
76,Bravada,40
77,Bronco,15
78,Bronco II,15
79,C-Class,34
80,C30,54
81,C70,54
82,Camaro,8
83,Camry,52
84,Camry Hybrid,52
85,Capri,35
86,Caprice,8
87,Caprice Classic,8
88,Caravan,12
89,Carrera GT,43
90,Catera,7
91,Cavalier,8
92,Cayenne,43
93,Celica,52
94,Century,6
95,Challenger,38
96,Charger,12
97,Chariot,38
98,Cherokee,24
99,Cirrus,9
100,Civic,18
101,Civic Si,18
102,CL-Class,34
103,CLK-Class,34
104,CLS-Class,34
105,Clubman,37
106,Cobalt,8
107,Cobalt SS,8
108,Comanche,24
109,Concorde,9
110,Continental,29
111,Continental Flying Spur,4
112,Continental GTC,4
113,Contour,15
114,Cooper,37
115,Cooper Clubman,37
116,Corolla,52
117,Corsica,8
118,Corvair 500,8
119,Corvette,8
120,Cougar,35
121,Countach,26
122,Coupe,31
123,CR-V,18
124,CR-X,18
125,Crossfire,9
126,Crown Victoria,15
127,CTS,7
128,CTS-V,7
129,Cutlass Supreme,40
130,CX,10
131,CX-7,33
132,D150,12
133,Daewoo Kalos,42
134,Daewoo Magnus,51
135,Dakota,12
136,Dakota Club,12
137,DB9,2
138,DBS,2
139,Defender 90,27
140,DeVille,7
141,DTS,7
142,Durango,12
143,Dynasty,12
144,E-Class,34
145,E-Series,15
146,E150,15
147,E250,15
148,E350,15
149,Eclipse,38
150,Econoline E150,15
151,Econoline E250,15
152,Edge,15
153,Elantra,20
154,Elise,30
155,Enclave,6
156,Endeavor,38
157,Envoy,17
158,Equinox,8
159,Equus,20
160,ES,28
161,Escalade ESV,7
162,Escalade EXT,7
163,Escape,15
164,Escort,15
165,Estate,6
166,Esteem,51
167,Eurovan,53
168,Evora,30
169,Excursion,15
170,Exige,30
171,Explorer,15
172,Explorer Sport,15
173,Explorer Sport Trac,15
174,Expo,38
175,Express 1500,8
